seed,action,scenario,estimate,est_correct,delta
1234,0,correct,-0.004573047480577001,-0.004573047480577001,0.0
1234,0,m_miss,-0.004610182267632938,-0.004573047480577001,-3.7134787055937216e-05
1234,0,e_miss,-0.004066250016268961,-0.004573047480577001,0.0005067974643080397
1234,0,both_miss,-0.007136192064819394,-0.004573047480577001,-0.002563144584242393
1234,1,correct,-0.007011850520185005,-0.007011850520185005,0.0
1234,1,m_miss,-0.0069006824692578175,-0.007011850520185005,0.00011116805092718784
1234,1,e_miss,-0.006501503492799931,-0.007011850520185005,0.0005103470273850746
1234,1,both_miss,-0.004570722553641409,-0.007011850520185005,0.0024411279665435964
1234,2,correct,-0.004555506445898135,-0.004555506445898135,0.0
1234,2,m_miss,-0.004899508388329056,-0.004555506445898135,-0.00034400194243092066
1234,2,e_miss,-0.004294068832494399,-0.004555506445898135,0.00026143761340373644
1234,2,both_miss,-0.003179724053918524,-0.004555506445898135,0.0013757823919796114
1235,0,correct,-0.005301588535409528,-0.005301588535409528,0.0
1235,0,m_miss,-0.00565330245319646,-0.005301588535409528,-0.0003517139177869324
1235,0,e_miss,-0.0051251583587119095,-0.005301588535409528,0.00017643017669761833
1235,0,both_miss,-0.008142832248987686,-0.005301588535409528,-0.0028412437135781577
1235,1,correct,-0.005857429297312214,-0.005857429297312214,0.0
1235,1,m_miss,-0.005780869128380274,-0.005857429297312214,7.656016893193944e-05
1235,1,e_miss,-0.005173588915380303,-0.005857429297312214,0.0006838403819319112
1235,1,both_miss,-0.0032497386594015644,-0.005857429297312214,0.0026076906379106494
1235,2,correct,-0.005453693615310843,-0.005453693615310843,0.0
1235,2,m_miss,-0.005416292165785979,-0.005453693615310843,3.740144952486379e-05
1235,2,e_miss,-0.005328109982141425,-0.005453693615310843,0.00012558363316941823
1235,2,both_miss,-0.005800670298325468,-0.005453693615310843,-0.0003469766830146246
1236,0,correct,-0.004608607455594568,-0.004608607455594568,0.0
1236,0,m_miss,-0.004775563441174326,-0.004608607455594568,-0.0001669559855797583
1236,0,e_miss,-0.004505567104334849,-0.004608607455594568,0.00010304035125971878
1236,0,both_miss,-0.0071855586499936916,-0.004608607455594568,-0.0025769511943991236
1236,1,correct,-0.005598074766254721,-0.005598074766254721,0.0
1236,1,m_miss,-0.005337448331895917,-0.005598074766254721,0.00026062643435880405
1236,1,e_miss,-0.005075236337553288,-0.005598074766254721,0.0005228384287014332
1236,1,both_miss,-0.0031680304584298454,-0.005598074766254721,0.0024300443078248755
1236,2,correct,-0.005033265505012976,-0.005033265505012976,0.0
1236,2,m_miss,-0.005152642182043045,-0.005033265505012976,-0.00011937667703006919
1236,2,e_miss,-0.004914171759399514,-0.005033265505012976,0.00011909374561346227
1236,2,both_miss,-0.0044579656683770815,-0.005033265505012976,0.0005752998366358947
1237,0,correct,-0.004235475218960888,-0.004235475218960888,0.0
1237,0,m_miss,-0.004571269471280827,-0.004235475218960888,-0.00033579425231993875
1237,0,e_miss,-0.004012469607941746,-0.004235475218960888,0.00022300561101914248
1237,0,both_miss,-0.006448887074619162,-0.004235475218960888,-0.0022134118556582736
1237,1,correct,-0.005630808001365766,-0.005630808001365766,0.0
1237,1,m_miss,-0.006251199237567458,-0.005630808001365766,-0.0006203912362016915
1237,1,e_miss,-0.004843753753448935,-0.005630808001365766,0.0007870542479168309
1237,1,both_miss,-0.003074430827627457,-0.005630808001365766,0.002556377173738309
1237,2,correct,-0.00480742410667572,-0.00480742410667572,0.0
1237,2,m_miss,-0.005015579778736218,-0.00480742410667572,-0.0002081556720604982
1237,2,e_miss,-0.004674431324142965,-0.00480742410667572,0.00013299278253275492
1237,2,both_miss,-0.004585231918268747,-0.00480742410667572,0.0002221921884069727
1238,0,correct,-0.004413475629217636,-0.004413475629217636,0.0
1238,0,m_miss,-0.004477426387342786,-0.004413475629217636,-6.395075812514958e-05
1238,0,e_miss,-0.0042891518998337385,-0.004413475629217636,0.00012432372938389787
1238,0,both_miss,-0.007612056678182816,-0.004413475629217636,-0.00319858104896518
1238,1,correct,-0.0058508610342267965,-0.0058508610342267965,0.0
1238,1,m_miss,-0.006158563915943007,-0.0058508610342267965,-0.00030770288171621044
1238,1,e_miss,-0.005386543286474898,-0.0058508610342267965,0.0004643177477518983
1238,1,both_miss,-0.0032945753708032116,-0.0058508610342267965,0.002556285663423585
1238,2,correct,-0.004500919278535299,-0.004500919278535299,0.0
1238,2,m_miss,-0.0043060642646480475,-0.004500919278535299,0.00019485501388725145
1238,2,e_miss,-0.004275735077712108,-0.004500919278535299,0.0002251842008231912
1238,2,both_miss,-0.0033128890304552536,-0.004500919278535299,0.0011880302480800453
1239,0,correct,-0.005107809280414088,-0.005107809280414088,0.0
1239,0,m_miss,-0.005521044235873189,-0.005107809280414088,-0.0004132349554591009
1239,0,e_miss,-0.005210725177663718,-0.005107809280414088,-0.00010291589724962993
1239,0,both_miss,-0.007056830992439651,-0.005107809280414088,-0.001949021712025563
1239,1,correct,-0.006889907450092481,-0.006889907450092481,0.0
1239,1,m_miss,-0.006950433828482935,-0.006889907450092481,-6.05263783904535e-05
1239,1,e_miss,-0.0064629306221042114,-0.006889907450092481,0.0004269768279882699
1239,1,both_miss,-0.004815965205351536,-0.006889907450092481,0.002073942244740945
1239,2,correct,-0.00582817261011934,-0.00582817261011934,0.0
1239,2,m_miss,-0.005975032760662915,-0.00582817261011934,-0.0001468601505435754
1239,2,e_miss,-0.005581415179832132,-0.00582817261011934,0.000246757430287208
1239,2,both_miss,-0.006140157569832148,-0.00582817261011934,-0.0003119849597128079
1240,0,correct,-0.004326141095719577,-0.004326141095719577,0.0
1240,0,m_miss,-0.004583988710467607,-0.004326141095719577,-0.00025784761474803054
1240,0,e_miss,-0.004032284396026673,-0.004326141095719577,0.00029385669969290377
1240,0,both_miss,-0.006136303494343408,-0.004326141095719577,-0.0018101623986238316
1240,1,correct,-0.005634773956606692,-0.005634773956606692,0.0
1240,1,m_miss,-0.005245967229152265,-0.005634773956606692,0.00038880672745442765
1240,1,e_miss,-0.005444999594650605,-0.005634773956606692,0.0001897743619560877
1240,1,both_miss,-0.0027830023082151207,-0.005634773956606692,0.0028517716483915717
1240,2,correct,-0.004649997028869913,-0.004649997028869913,0.0
1240,2,m_miss,-0.004351870106776924,-0.004649997028869913,0.0002981269220929889
1240,2,e_miss,-0.00448915219068467,-0.004649997028869913,0.00016084483818524283
1240,2,both_miss,-0.004284376429391726,-0.004649997028869913,0.00036562059947818724
1241,0,correct,-0.004630771932497389,-0.004630771932497389,0.0
1241,0,m_miss,-0.004707006065887942,-0.004630771932497389,-7.623413339055349e-05
1241,0,e_miss,-0.004505676409939297,-0.004630771932497389,0.00012509552255809183
1241,0,both_miss,-0.007256281422134556,-0.004630771932497389,-0.0026255094896371674
1241,1,correct,-0.005343991187980342,-0.005343991187980342,0.0
1241,1,m_miss,-0.004813931209585153,-0.005343991187980342,0.0005300599783951898
1241,1,e_miss,-0.005162113123021366,-0.005343991187980342,0.00018187806495897647
1241,1,both_miss,-0.0035820437317008484,-0.005343991187980342,0.001761947456279494
1241,2,correct,-0.005203124335636914,-0.005203124335636914,0.0
1241,2,m_miss,-0.00473835424918506,-0.005203124335636914,0.0004647700864518541
1241,2,e_miss,-0.004878043605593343,-0.005203124335636914,0.0003250807300435709
1241,2,both_miss,-0.003744694982424552,-0.005203124335636914,0.001458429353212362
1242,0,correct,-0.005669704774010109,-0.005669704774010109,0.0
1242,0,m_miss,-0.005025891968883629,-0.005669704774010109,0.0006438128051264799
1242,0,e_miss,-0.00495154246678945,-0.005669704774010109,0.0007181623072206591
1242,0,both_miss,-0.00860343222634764,-0.005669704774010109,-0.002933727452337531
1242,1,correct,-0.005557437633504185,-0.005557437633504185,0.0
1242,1,m_miss,-0.005824225411558773,-0.005557437633504185,-0.00026678777805458787
1242,1,e_miss,-0.004932887517170606,-0.005557437633504185,0.0006245501163335788
1242,1,both_miss,-0.002478055399200999,-0.005557437633504185,0.003079382234303186
1242,2,correct,-0.004635700547214303,-0.004635700547214303,0.0
1242,2,m_miss,-0.004806345705653465,-0.004635700547214303,-0.00017064515843916248
1242,2,e_miss,-0.0044246520269437635,-0.004635700547214303,0.00021104852027053946
1242,2,both_miss,-0.0034099481508579883,-0.004635700547214303,0.0012257523963563146
