seed,action,scenario,estimate,est_correct,delta
1234,0,correct,-0.0040076772872935104,-0.0040076772872935104,0.0
1234,0,m_miss,-0.004231741274044294,-0.0040076772872935104,-0.00022406398675078355
1234,0,e_miss,-0.003985889888668656,-0.0040076772872935104,2.1787398624854154e-05
1234,0,both_miss,-0.0063915346255593985,-0.0040076772872935104,-0.002383857338265888
1234,1,correct,-0.007253493000438514,-0.007253493000438514,0.0
1234,1,m_miss,-0.007192628446299928,-0.007253493000438514,6.086455413858646e-05
1234,1,e_miss,-0.0071811983564715786,-0.007253493000438514,7.229464396693586e-05
1234,1,both_miss,-0.007288335375721671,-0.007253493000438514,-3.484237528315632e-05
1234,2,correct,-0.006163160234115307,-0.006163160234115307,0.0
1234,2,m_miss,-0.006380339090730466,-0.006163160234115307,-0.00021717885661515918
1234,2,e_miss,-0.006164457382592488,-0.006163160234115307,-1.297148477181001e-06
1234,2,both_miss,-0.005151104141582673,-0.006163160234115307,0.0010120560925326342
1235,0,correct,-0.005010825537432493,-0.005010825537432493,0.0
1235,0,m_miss,-0.004912750683564009,-0.005010825537432493,9.807485386848381e-05
1235,0,e_miss,-0.004926857418473234,-0.005010825537432493,8.396811895925848e-05
1235,0,both_miss,-0.006599718862222164,-0.005010825537432493,-0.0015888933247896718
1235,1,correct,-0.004619909248101147,-0.004619909248101147,0.0
1235,1,m_miss,-0.004652155345961551,-0.004619909248101147,-3.224609786040434e-05
1235,1,e_miss,-0.004522871949430414,-0.004619909248101147,9.703729867073258e-05
1235,1,both_miss,-0.0045395683799348925,-0.004619909248101147,8.034086816625409e-05
1235,2,correct,-0.006890961069657198,-0.006890961069657198,0.0
1235,2,m_miss,-0.006807188179312058,-0.006890961069657198,8.377289034513982e-05
1235,2,e_miss,-0.006670959924051104,-0.006890961069657198,0.00022000114560609407
1235,2,both_miss,-0.006654979562426519,-0.006890961069657198,0.00023598150723067902
1236,0,correct,-0.003393956082145457,-0.003393956082145457,0.0
1236,0,m_miss,-0.003437102448399081,-0.003393956082145457,-4.3146366253623766e-05
1236,0,e_miss,-0.003486745138820091,-0.003393956082145457,-9.278905667463398e-05
1236,0,both_miss,-0.0055291355894007,-0.003393956082145457,-0.002135179507255243
1236,1,correct,-0.005730076705755166,-0.005730076705755166,0.0
1236,1,m_miss,-0.0054788301577116645,-0.005730076705755166,0.0002512465480435013
1236,1,e_miss,-0.00559711704070862,-0.005730076705755166,0.0001329596650465458
1236,1,both_miss,-0.005591201217208732,-0.005730076705755166,0.00013887548854643345
1236,2,correct,-0.005941504556586395,-0.005941504556586395,0.0
1236,2,m_miss,-0.006007634297533664,-0.005941504556586395,-6.612974094726866e-05
1236,2,e_miss,-0.0059017456409763604,-0.005941504556586395,3.975891561003482e-05
1236,2,both_miss,-0.0049864201522184385,-0.005941504556586395,0.0009550844043679568
