seed,action,scenario,estimate
0,0,correct,-0.026949649626677945
0,0,m_miss,-0.03116071183096318
0,0,e_miss,-0.0348922331846509
0,0,both_miss,-0.039733792308863224
0,1,correct,-0.022229802312809285
0,1,m_miss,-0.03181341248677713
0,1,e_miss,-0.041709342917273656
0,1,both_miss,-0.03453391395106563
0,2,correct,-0.023807031279619854
0,2,m_miss,-0.027030397281786907
0,2,e_miss,-0.022198173546598466
0,2,both_miss,-0.0266124168051084
1,0,correct,-0.01233981621633455
1,0,m_miss,-0.013749843241308747
1,0,e_miss,-0.011755677856374241
1,0,both_miss,-0.014069788445806057
1,1,correct,-0.015887504978559848
1,1,m_miss,-0.019145077260334053
1,1,e_miss,-0.022065035477616034
1,1,both_miss,-0.01964358512487199
1,2,correct,-0.013346454638966946
1,2,m_miss,-0.012988296678889594
1,2,e_miss,-0.009133555029605219
1,2,both_miss,-0.012489310187241968
2,0,correct,-0.018819380307581988
2,0,m_miss,-0.024035168110967113
2,0,e_miss,-0.02417561251920847
2,0,both_miss,-0.025714783598257764
2,1,correct,-0.01605989202575692
2,1,m_miss,-0.01743941582530512
2,1,e_miss,-0.02114368832386406
2,1,both_miss,-0.019354512713386042
2,2,correct,-0.024120343330568592
2,2,m_miss,-0.03396058941899586
2,2,e_miss,-0.027418996767928423
2,2,both_miss,-0.033076674377541304
3,0,correct,-0.013064603738615442
3,0,m_miss,-0.016451719774859375
3,0,e_miss,-0.022076946864184637
3,0,both_miss,-0.013637884865872368
3,1,correct,-0.007062242392578224
3,1,m_miss,-0.007642700771574012
3,1,e_miss,-0.009404754721279907
3,1,both_miss,-0.015717045968393593
3,2,correct,-0.008786378153637994
3,2,m_miss,-0.009424856003783053
3,2,e_miss,-0.008856941631757561
3,2,both_miss,-0.010004262977940506
4,0,correct,-0.020833523280134145
4,0,m_miss,-0.027779105429178424
4,0,e_miss,-0.024220247191646754
4,0,both_miss,-0.029829789374704693
4,1,correct,-0.021290896771637886
4,1,m_miss,-0.01689709002663169
4,1,e_miss,-0.018087710754282067
4,1,both_miss,-0.021684839531910496
4,2,correct,-0.019518495963098376
4,2,m_miss,-0.01696969904393097
4,2,e_miss,-0.024516240044280522
4,2,both_miss,-0.03083567679228953
5,0,correct,-0.01698966354254656
5,0,m_miss,-0.024090833938381316
5,0,e_miss,-0.021925798316600395
5,0,both_miss,-0.01621108035476977
5,1,correct,-0.013141828791166063
5,1,m_miss,-0.0178557052735809
5,1,e_miss,-0.01608776784097281
5,1,both_miss,-0.013689217888490816
5,2,correct,-0.009717432553308258
5,2,m_miss,-0.016611448604113066
5,2,e_miss,-0.01295907699638841
5,2,both_miss,-0.020181426503627822
6,0,correct,-0.01451018654915232
6,0,m_miss,-0.017912846718441934
6,0,e_miss,-0.020090375371494423
6,0,both_miss,-0.023923527064060878
6,1,correct,-0.015478615139902063
6,1,m_miss,-0.01967879033262795
6,1,e_miss,-0.011921714075315035
6,1,both_miss,-0.02511049089882947
6,2,correct,-0.004560389044732453
6,2,m_miss,-0.015494646712135194
6,2,e_miss,-0.014532098569124258
6,2,both_miss,-0.018835368556634466
7,0,correct,-0.018063250498235563
7,0,m_miss,-0.022326515798615887
7,0,e_miss,-0.018415204005480034
7,0,both_miss,-0.019660194339880217
7,1,correct,-0.01954223625299779
